학교명,급식일자,급식인원수,칼로리정보,탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg),menu_list
가경초등학교,20250716,337,786.6,128.6,29.7,18.0,111.5,0.3,0.7,24.9,325.3,3.6,"['치킨까스마요덮밥', '유부장국', '배추김치', '저지방우유', '스위트 청귤주스', '떡볶이']"
가경초등학교,20250717,337,520.1,74.2,29.8,11.2,249.3,1.5,0.7,39.1,300.7,3.8,"['친환경 흑미밥', '근대된장국', '한우채끝살찹스테이크', '궁채나물볶음', '배추김치', '오렌지', '일반우유']"
가경초등학교,20250718,337,736.1,97.9,41.3,18.6,49.1,0.4,0.5,2.9,183.2,3.3,"['친환경 찹쌀밥', '닭다리삼계탕', '멸치찹쌀콩볶음', '오징어김치전', '깍두기', '발효유', '팝핑 푸딩']"
가경초등학교,20250721,337,706.5,104.3,33.2,16.3,204.1,0.5,0.8,19.2,398.5,3.4,"['친환경 현미찹쌀밥', '매콤콩나물국', '사각어묵볶음', '순살갈치구이', '배추김치', '직접만든 요아정', '일반우유']"
가경초등학교,20250722,337,579.6,73.8,40.1,13.1,271.9,0.5,0.8,11.4,503.0,7.6,"['친환경 홍미밥', '청국장찌개', '꼬막양념무침', '소고기숙주볶음', '열무김치', '고칼슘우유', '포도']"
가경초등학교,20250723,337,614.6,76.8,33.4,18.3,111.7,0.4,0.6,11.4,274.9,4.2,"['마파두부', '친환경 기장밥', '미나리곰탕', '구운 김', '깍두기', '저지방우유', '바나나']"
가경초등학교,20250724,337,994.1,141.7,32.4,32.3,145.7,0.5,0.8,8.3,343.5,9.7,"['냉모밀', '오븐등심돈까스/소스', '배추김치', '일반우유', '유산균 요구르트', '소불고기구운주먹밥']"
가경초등학교,20250929,335,947.5,84.4,29.2,53.5,167.4,0.8,0.8,7.3,321.9,2.4,"['친환경 찹쌀밥', '들깨가루미역국', '꿀마늘보쌈', '실곤약야채무침', '배추김치', '사과', '일반우유']"
가경초등학교,20250930,335,597.7,77.2,32.0,17.3,283.4,0.7,0.6,31.1,478.7,3.7,"['친환경 기장밥', '꼬들오이&무채장아찌', '허브치킨플레로티', '깍두기', '고칼슘우유', '오렌지', '돼지고기김치찌개']"
가경초등학교,20251001,335,708.3,117.1,25.3,17.6,142.8,0.3,0.5,11.0,337.9,9.0,"['자율흰쌀밥', '꼬꼬짬뽕', '돈등심탕수육/소스', '저지방우유', '유산균 요구르트', '단무지']"
가경초등학교,20251002,335,834.6,105.7,71.7,12.1,100.0,0.4,0.6,8.5,492.8,4.7,"['친환경 발아현미밥', '콩가루배추된장국', '깨송편', '청태볶음', '코다리칠리강정', '배추김치', '일반우유']"
가경초등학교,20251013,335,643.9,72.4,34.4,23.3,164.2,0.3,0.7,9.6,291.0,4.7,"['친환경 귀리밥', '두부김치국', '참나물무침', '쇠고기버섯볶음', '깍두기', '일반우유', '열대과일샐러드']"
가경초등학교,20251014,335,651.9,88.8,35.3,16.6,412.3,0.6,0.6,9.0,536.8,3.6,"['친환경 현미찹쌀밥', '시래기된장국', '두부쑥갓무침', '눈꽃치즈 닭갈비', '배추김치', '고칼슘우유', '바나나']"
가경초등학교,20251015,335,683.3,104.7,25.3,18.0,136.4,0.6,0.5,9.7,384.9,4.1,"['전복솥밥', '근대된장국', '쫀득이복만두', '배추김치', '저지방우유', '미니감자핫도그/케첩']"
가경초등학교,20251016,335,595.2,80.1,33.6,14.6,187.9,0.4,0.5,14.3,263.5,2.3,"['친환경 차수수밥', '북어계란국', '순살안동찜닭', '오이부추무침', '배추김치', '방울토마토', '일반우유']"
가경초등학교,20251017,335,616.0,104.6,25.1,9.8,57.3,0.5,0.3,8.2,145.6,2.1,"['친환경 발아현미밥', '부산돼지국밥', '볼어묵볶음', '애호박빵가루전', '깍두기', '발효유', '팝핑 푸딩', '다진 양념']"
가경초등학교,20251020,335,556.5,71.8,32.4,15.1,121.6,0.5,0.6,39.3,292.1,2.4,"['친환경 찹쌀밥', '버섯두부된장국', '묵은지순살닭찜', '숙주미나리무침', '백김치', '오렌지', '일반우유']"
가경초등학교,20251021,335,513.2,83.4,29.2,7.2,247.1,0.5,0.5,8.1,438.5,2.5,"['친환경 흑미밥', '꽃게해물탕', '구운느타리버섯무침', '대패간장불고기', '깍두기', '고칼슘우유', '샤인머스켓']"
가경초등학교,20251022,335,773.6,130.5,23.3,16.7,141.9,0.3,0.4,31.3,447.6,3.2,"['떠먹는 유부초밥', '다시마어묵국', '배추김치', '저지방우유', '복숭아 쿨피스 제로', '떡볶이']"
